link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/apg8g1W,Random,2022-05-15,How to stop racism? Stop talking about racism,14000,1100,1100
https://9gag.com/gag/a91zmdK,Random,2022-03-06,Brethren i ask your help with finding sauce,550,73,64
https://9gag.com/gag/ajgNAVR,Funny,2021-12-29,Also bob and vagena,1400,89,105
https://9gag.com/gag/amgYePj,Music,2021-12-27,So i saw a short ver of this but couldnt find the original for myself. so i made one for everyone who wanna hear,1500,81,57
https://9gag.com/gag/aV74NXK,Ask 9GAG,2021-07-23,"Any movies, tvseries you knwo with these kinda moments?",12000,606,802
https://9gag.com/gag/a8EbBRp,Wholesome,2021-01-19,Butter's beautiful sadness quote south park,655,29,19
https://9gag.com/gag/aMxRjmX,Wholesome,2020-12-16,They always leave least a 'nice one bro' comment on everything,362,14,19
https://9gag.com/gag/a8GPpRV,Cyberpunk 2077,2020-12-16,It's like 10 people that keep complaining,1800,178,130
https://9gag.com/gag/aLw3ww6,Relationship,2020-10-31,When you tried your best but still ends in the friendzone,265,30,35
https://9gag.com/gag/adVMq3j,Gaming,2020-10-31,Im kinda happy they keep delaying it. they must be fixing bugs non stop. people hyped it so much that the whole companies reputation is riding on this game now lol,1400,56,141
https://9gag.com/gag/awBzYBx,Gaming,2020-07-21,Why are there so little feudal japan games. Feudal japan looks such an awesome time period for games,1700,125,107
https://9gag.com/gag/ax9BYZp,Gaming,2020-07-21,Damn i always wanted a AC game in feudal japan,14000,259,721
https://9gag.com/gag/a9nRpEL,Funny,2020-07-02,Pff look cool or become legend,329,27,8
https://9gag.com/gag/a9nAArK,Funny,2020-06-16,Probably just me but,9300,272,232
https://9gag.com/gag/aBm3XVx,Funny,2020-05-18,Least i got that going for me which ks nice,501,34,55
https://9gag.com/gag/aO0LrLD,Funny,2020-03-26,Oh boner-kun,1400,145,45
https://9gag.com/gag/aBgvGjN,Meme,2020-02-11,"9gag right now like,",155,8,1
https://9gag.com/gag/ap5dqRM,Funny,2020-02-08,Straight outta marriage he aint taking anyones shit,7600,127,153
https://9gag.com/gag/ae5x565,Gaming,2020-01-04,Do you feel like a hero yet?,171,25,26
https://9gag.com/gag/aqgQMxY,Gaming,2020-01-01,He even looks like a gamer,286,31,24
https://9gag.com/gag/aAg05vR,Funny,2019-11-24,Pursuit protocols engaged,1000,26,21
https://9gag.com/gag/awoZgPB,Meme,2019-11-22,Worst when you have already asked her out before,333,28,4
https://9gag.com/gag/avoQ2vq,Funny,2019-11-19,Suddenly communism,228,19,12
https://9gag.com/gag/aWEYbnK,Funny,2019-10-21,It's not much...,418,22,6
https://9gag.com/gag/aerrv2Q,Gaming,2018-12-30,Probably die in fresh. But oh well,185,15,2
https://9gag.com/gag/aGZZmKG,Funny,2018-12-29,Nut the hoe and hit the road,302,25,10
https://9gag.com/gag/a1QQoXD,Funny,2018-12-24,Being a disappointment is hard,901,33,23
https://9gag.com/gag/aKxjqqN,Gaming,2018-12-16,"Far from perfect, Yet worth a play. Besides, it's free to play.",266,42,16
https://9gag.com/gag/aGZe31K,Gaming,2018-12-14,"Vini, vidi, sensei",178,19,6
https://9gag.com/gag/aGZeBWZ,Funny,2018-12-11,Flush out the bad internet,384,41,26
https://9gag.com/gag/aWYqnb3,Gaming,2018-12-11,Days became weeks. Weeks became months. Months became years,2700,78,117
https://9gag.com/gag/aPYMr8R,Funny,2018-11-28,"Note to self: ""I have failed you""",1300,66,26
https://9gag.com/gag/adLqqGV,Funny,2018-11-25,90s Indian families be like:,457,49,26
https://9gag.com/gag/aer6POW,Funny,2018-11-21,You wasted 2 seconds reading this,130,14,5
https://9gag.com/gag/a0QjwPZ,GIF,2018-11-21,You can hear this gif don't you,102,19,15
https://9gag.com/gag/a73dn4e,Gaming,2018-11-21,Hmmm what was the guy who took the picture doing there at 2AM,1500,45,35
https://9gag.com/gag/aVYPZKO,Funny,2018-11-13,Not that i had any to begin with ofc,474,80,28
https://9gag.com/gag/aqK2AYR,Gaming,2018-11-08,Psss..its already happening,282,45,70
https://9gag.com/gag/aD1mV59,Anime & Manga,2018-11-07,Ni hao,128,1,12
https://9gag.com/gag/arG4dDK,Funny,2018-11-01,Is not mine,566,41,18
https://9gag.com/gag/av8pbVX,Gaming,2018-10-13,RNGesus take the wheel,635,35,31
https://9gag.com/gag/aVYz03O,Funny,2018-10-08,Post tital,6700,260,49
https://9gag.com/gag/agnroPn,Funny,2018-10-01,Call an ambulance,1900,205,43
https://9gag.com/gag/a5o8eLo,Gaming,2018-09-08,"Yar har, fiddle de dee",574,93,36
https://9gag.com/gag/a47vgVd,Funny,2018-09-06,So i can pay to disappoint people now ha,3600,215,54
https://9gag.com/gag/aQ3GXYr,Gaming,2018-09-03,No one gives a shit about the scindo prime,1900,208,162
https://9gag.com/gag/aAxjD2Z,Animals,2018-09-02,Wanna go kill some rats?,211,17,4
https://9gag.com/gag/a3KmP3v,Gaming,2018-09-01,If x equals y then y equals ur mom gey,3800,201,148
https://9gag.com/gag/aq7P3mM,Gaming,2018-08-31,Tennos don't quit. They just take breaks,666,94,90
https://9gag.com/gag/aBxBm3P,Gaming,2018-08-20,WTB a life,322,51,49
https://9gag.com/gag/anMP1MB,Funny,2018-08-19,I'm very lovable person :),1400,69,20
https://9gag.com/gag/aPj2vpK,Funny,2018-08-05,NSFK is not NSFW,1300,125,112
https://9gag.com/gag/aoNoNK3,Funny,2018-07-31,"Mom, I did it...",2600,258,72
https://9gag.com/gag/aLjN04A,Funny,2018-07-07,In an alternate universe,685,63,13
https://9gag.com/gag/aLjW8eW,Funny,2018-06-20,House had his priorityz r8,1200,60,36
https://9gag.com/gag/am7R219,Anime & Manga,2018-06-20,Although guts didn't knew. he was good with words too,54,3,5
https://9gag.com/gag/aYgPM42,Funny,2018-05-22,Use this whenever you need to justify your situation,254,17,8
https://9gag.com/gag/azXVnxN,Gaming,2018-02-02,It's actually not free. You just don't pay with money.,25,11,12
https://9gag.com/gag/a248G5d,WTF,2017-09-16,Notice something wrong with the girl?,11,9,14
https://9gag.com/gag/av7Pjp5,Funny,2017-07-13,The first thing you need to know when coming to 9gag,58,3,5
https://9gag.com/gag/aKV6X4N,Dark Humor,2017-03-14,Wait what?,59,5,0
https://9gag.com/gag/adqEroB,Funny,2017-01-18,Whats your relationship status?,26,1,1
https://9gag.com/gag/aRKn7R7,GIF,2017-01-17,In tyler we trust,14,1,1
https://9gag.com/gag/ao2opVA,Latest News,2017-01-04,Do you wanna make this your difficult meme? no,18,9,0
https://9gag.com/gag/aDGPdz7,Funny,2016-09-18,Still better then today's,16,4,3
https://9gag.com/gag/abZE8Eb,Funny,2016-09-17,He stricks where people are busy with children.be lazy.dont have children,21,3,2
https://9gag.com/gag/aGDbo57,Funny,2016-09-16,Always acceptable,8,6,8
https://9gag.com/gag/ae6W4Eb,Funny,2016-09-16,Beware of the angry cows,40,3,9
https://9gag.com/gag/aB14Ooz,Funny,2016-09-14,Life is...,10,4,3
https://9gag.com/gag/a84VGL6,Latest News,2016-09-13,Jobs...jobs everywhere,3,2,1
https://9gag.com/gag/azA48pB,Funny,2016-09-13,That Moment,16,6,8
https://9gag.com/gag/aReOYE7,Funny,2016-09-12,#catlivesmatter,9,10,4
https://9gag.com/gag/aB1Oz3Z,Funny,2016-09-12,Apple Fanboys in 4..2..3..1..,4,6,0
https://9gag.com/gag/awVY4Mr,Gaming,2016-09-11,On top are pc Games,20,11,9
https://9gag.com/gag/amzp1Lo,Latest News,2016-09-11,The horror,31,12,1
https://9gag.com/gag/abZQ3AL,Funny,2016-09-10,Motivation is simple as that,21,1,0
https://9gag.com/gag/a3jbvR1,Funny,2016-09-10,No reason at all,50,43,6
https://9gag.com/gag/an1Dd05,Funny,2016-09-09,Till Eternity and after,23,4,0
https://9gag.com/gag/anNAQWb,Funny,2016-06-04,Bananas,50,10,4
https://9gag.com/gag/aA1oyB2,Funny,2016-05-27,Its really stressful,67,11,4
https://9gag.com/gag/aX9BE1b,Funny,2016-05-22,O hell No..!!,68,8,5
https://9gag.com/gag/aW6rRdK,Funny,2016-05-20,I was washing the dishes,75,5,6
https://9gag.com/gag/ajAz888,Funny,2016-05-18,Business will bloom,43,4,5
https://9gag.com/gag/a4YOedp,Funny,2016-05-17,I dont know,60,3,7
https://9gag.com/gag/aRAqM9j,Funny,2016-05-15,Savage?,152,15,6
https://9gag.com/gag/ajAe8qg,Funny,2016-05-14,Good Bye World,66,3,6
https://9gag.com/gag/a8Mxj9Y,Funny,2016-05-13,They didnt saw it coming,135,3,3
https://9gag.com/gag/axjqZmK,Funny,2016-05-13,The Sea is Deepppp,86,7,8
https://9gag.com/gag/aeGBLqO,Funny,2016-05-12,Drunk Rd Signs...Clearly,57,2,5
https://9gag.com/gag/a2mXMYe,Funny,2016-05-10,Any Quotes?,74,4,3
https://9gag.com/gag/agVegLx,Funny,2016-05-10,It'll be over before u know it,7,6,0
https://9gag.com/gag/a2mXR31,Funny,2016-05-09,No Soul bro,35,7,2
https://9gag.com/gag/aydwb8M,Latest News,2016-05-08,Da Truth...,63,4,1
https://9gag.com/gag/aQ85Krd,Funny,2016-05-07,"Their like ""let's put all our shit aside and work together to save all our asses""",67,7,7
https://9gag.com/gag/anNZZe5,Funny,2016-05-03,That F**ker,71,2,1
https://9gag.com/gag/aL2oG4M,Funny,2016-05-02,Just a Batman thing,66,3,4
https://9gag.com/gag/a0pgV1L,NSFW,2016-05-02,Go f**k ur self...oh,130,9,8
https://9gag.com/gag/aMG74vX,Funny,2016-05-01,Dont dream for it.be a...meme,1,0,0
https://9gag.com/gag/aDo91ZB,Funny,2016-05-01,Still was a Great actor. *my life story*,11,5,0
https://9gag.com/gag/arK0YB5,Funny,2016-04-29,Ohh..yeahh,67,1,10
https://9gag.com/gag/aW6AzEn,Funny,2016-04-29,The Rice in the blood maybe?,51,10,12
https://9gag.com/gag/aE7b3n9,Funny,2016-04-29,Potato potato? potato!,38,5,8
